Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
travel,$21.33,27,181,0.00,"(travel companion, travel buddy, travel buddy app)"
buddy,$6.35,8,59,0.00,"(travel buddy, travel buddy app, travel buddy website)"
find,$5.67,8,47,0.00,"(how to find a travel partner, find a travel partner, find travel buddy)"
companion,$3.94,4,43,0.00,"(travel companion, paid female travel companion, companion travel)"
app,$0.00,0,40,0.00,"(travel buddy app, find travel buddy app, app for finding friends)"
to,$2.34,3,31,0.00,"(how to find a travel partner, how to find a female travel partner, app to meet people while traveling)"
partner,$2.63,4,22,0.00,"(how to find a travel partner, find a travel partner, how to find a female travel partner)"
a,$0.76,1,19,0.00,"(how to find a travel partner, find a travel partner, how to find a female travel partner)"
friends,$2.32,2,17,0.00,"(travel friends, app for finding friends, travel friends app)"
for,$2.68,4,17,0.00,"(travel companions for singles, app for finding friends, looking for travel buddy)"
travel buddies,$1.32,2,16,0.00,"(travel buddies, find travel buddies, how to find travel buddies)"
how to,$0.00,0,15,0.00,"(how to find a travel partner, how to find a female travel partner, how to find travel buddies)"
with,$2.34,3,14,0.00,"(chat with strangers, find people to travel with, how to meet people to travel with)"
solo,$0.68,1,13,0.00,"(how to meet people while solo traveling, solo travel app, solo traveler app)"
travel companions,$2.67,4,12,0.00,"(travel companions, travel companions for singles)"
people,$1.58,2,12,0.00,"(app to meet people while traveling, find people to travel with, how to meet people to travel with)"
female,$0.83,1,11,0.00,"(how to find a female travel partner, paid female travel companion, male looking for female travel companion)"
website,$1.67,1,9,0.00,"(travel buddy website, travel buddies website)"
gesucht,$0.00,0,9,0.00,"(reisebegleitung gesucht, reisepartner gesucht, urlaubsbegleitung gesucht)"
meet,$0.00,0,9,0.00,"(app to meet people while traveling, how to meet people to travel with, how to meet people while solo traveling)"
travellers,$0.68,1,7,0.00,"(app for solo travellers, app for travellers to meet, app solo travellers)"
finder,$1.14,2,7,0.00,"(travel partner finder, travel buddy finder, travel companion finder system)"
finding,$0.00,0,6,0.00,"(app for finding friends, finding a travel buddy, finding travel buddies)"
chat,$0.00,0,6,0.00,"(chat with strangers, single girl chat video call, 1v1 chat)"
people while,$0.00,0,5,0.00,"(app to meet people while traveling, how to meet people while solo traveling, app for meeting people while travelling)"
trip,$0.00,0,5,0.00,"(join my trip, trip giraffe)"
holiday,$0.56,1,5,0.00,"(holiday companion, companion holiday, find holiday partner)"
singles,$1.27,2,5,0.00,"(travel companions for singles, canadian singles travel, dating holidays for singles)"
paid female,$0.00,0,4,0.00,"(paid female travel companion, best paid female travel companion)"
traveling,$0.00,0,4,0.00,"(app to meet people while traveling, how to meet people while solo traveling)"
other,$0.68,1,4,0.00,"(meet other travelers, find other solo travellers, find other travellers)"
reisebegleitung,$0.00,0,4,0.00,(reisebegleitung gesucht)
video,$0.00,0,4,0.00,"(single girl chat video call, 1v1 call video, 1v1 video call)"
dating,$0.00,0,4,0.00,"(dating apps, dating holidays, dating holidays for singles)"
someone to,$0.00,0,4,0.00,"(need someone to travel with, find someone to go on holiday with, find someone to travel with)"
looking for,$1.41,2,4,0.00,"(looking for travel buddy, male looking for female travel companion)"
call,$0.00,0,4,0.00,"(single girl chat video call, 1v1 call video, 1v1 video call)"
holidays,$0.00,0,3,0.00,"(cheap escorted holidays for single travellers, dating holidays, dating holidays for singles)"
join,$0.00,0,3,0.00,(join my trip)
reisepartner,$0.00,0,3,0.00,(reisepartner gesucht)
finden,$0.57,1,3,0.00,"(travel buddy finden, backpacker finden)"
my,$0.00,0,3,0.00,(join my trip)
travelers,$0.00,0,3,0.00,"(meet other travelers, best trips for solo travelers)"
apps,$0.00,0,3,0.00,"(apps like tripbff, apps to find people to travel with, dating apps)"
1v1,$0.00,0,3,0.00,"(1v1 call video, 1v1 chat, 1v1 video call)"
single,$0.00,0,3,0.00,"(single girl chat video call, cheap escorted holidays for single travellers)"
traveler,$0.00,0,2,0.00,(solo traveler app)
urlaubsbegleitung,$0.00,0,2,0.00,(urlaubsbegleitung gesucht)
companion wanted,$0.00,0,2,0.00,"(companion wanted for travel, female travel companion wanted)"
uk,$0.00,0,2,0.00,(travel companion uk)
traveller,$0.00,0,2,0.00,(solo traveller meetup)
meetup,$0.00,0,2,0.00,(solo traveller meetup)
travelling,$0.00,0,2,0.00,"(app for meeting people while travelling, find friends travelling app)"
reisgenoot,$0.00,0,2,0.00,(reisgenoot gezocht)
need,$0.00,0,2,0.00,(need someone to travel with)
australia,$0.69,1,2,0.00,(travel buddies australia)
strangers,$0.00,0,2,0.00,(chat with strangers)
girl,$0.00,0,2,0.00,(single girl chat video call)
system,$0.00,0,2,0.00,(travel companion finder system)
giraffe,$0.00,0,2,0.00,(trip giraffe)
ladies,$0.00,0,2,0.00,(travel ladies app)
male,$0.83,1,2,0.00,(male looking for female travel companion)
best,$0.00,0,2,0.00,"(best paid female travel companion, best trips for solo travelers)"
gaffl,$0.00,0,2,0.00,(gaffl app)
gezocht,$0.00,0,2,0.00,(reisgenoot gezocht)
together,$1.08,2,2,0.00,(travel together)
korean,$0.00,0,2,0.00,(korean travel buddy)
partners,$0.00,0,2,0.00,(travel partners)
canadian,$0.00,0,1,0.00,(canadian singles travel)
tripbff,$0.00,0,1,0.00,(apps like tripbff)
trail,$0.00,0,1,0.00,(fairy trail app)
near,$0.00,0,1,0.00,(find travellers near you)
meeting,$0.00,0,1,0.00,(app for meeting people while travelling)
fairy,$0.00,0,1,0.00,(fairy trail app)
you,$0.00,0,1,0.00,(find travellers near you)
group,$0.00,0,1,0.00,(dating travel group)
flashpack,$0.00,0,1,0.00,(flashpack)
like,$0.00,0,1,0.00,(apps like tripbff)
voyage,$0.00,0,1,0.00,(application rencontre voyage solo)
rencontre,$0.00,0,1,0.00,(application rencontre voyage solo)
random,$0.00,0,1,0.00,(chat with random people)
backpacker,$0.00,0,1,0.00,(backpacker finden)
on,$0.00,0,1,0.00,(find someone to go on holiday with)
go,$0.00,0,1,0.00,(find someone to go on holiday with)
cheap,$0.00,0,1,0.00,(cheap escorted holidays for single travellers)
application,$0.00,0,1,0.00,(application rencontre voyage solo)
trips,$0.00,0,1,0.00,(best trips for solo travelers)
escorted,$0.00,0,1,0.00,(cheap escorted holidays for single travellers)
